eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
arkeologio	archeology (=arĥeologio)	고고학 (=arĥeologio)	archéologie (=arĥeologio)	考古学（=arĥeologio）	考古学 (=arĥeologio)	考古學(=arĥeologio)	khảo cổ học (=arĥeologio)	археологи (=arĥeologio)	โบราณคดี (=arĥeologio)	arkeologi (=arĥeologio)	arkeologi (= arĥeologio)	पुरातत्व	باستان شناسی (=arĥeologio)	पुरातत्व (= arĥeologio)	آثار قدیمہ (= arĥeologio)	arkeoloji (=arĥeologio)	ארכיאולוגיה (=arĥeologio)	علم الآثار (=arĥeologio)	Archäologie (=arĥeologio)	arqueología (=arĥeologio)	archeologia (=arĥeologio)	arqueologia (=arĥeologio)	археология (=arĥeologio)	archeologia (=arĥeologio)
korelativa	a correlative	서로 관계가 있는, 상관적인	un corrélatif	互いに関係のある、相関的な	相关的	相關的	một sự tương quan	хамаарал	มีความสัมพันธ์กัน	korelatif	sebuah korelatif	एक सहसंबंधी	یک همبستگی	एक सहसंबंधित	ایک ارتباطی	bir bağıntılı	מתאם	مترابط	ein Korrelativ	un correlativo	un correlativo	um correlativo	коррелят	korelacja
logogrifo	a logogriph, a puzzle	글자수수께끼	un logotype, un puzzle	文字の謎	一个标志，一个谜题	一個標誌，一個謎題	một biểu tượng, một câu đố	логограф, оньсого	logogriph ปริศนา	logogriph, teka-teki	sebuah logogriff, sebuah teka-teki	एक लोगोग्रिफ़, एक पहेली	یک لوگوگریف، یک پازل	एक लोगोग्राफ, एक पजल	ایک لوگو گراف، ایک پہیلی	bir logogriph, bir bulmaca	לוגו, פאזל	شعار، لغز	ein Logogriff, ein Puzzle	un logogrifo, un rompecabezas	un logogrifo, un puzzle	um logogrifo, um quebra-cabeça	логогриф, головоломка	logogryf, łamigłówka
metriko	metrics	운율학, 시형학	métrique	韻律学、詩形学	指标	指標	số liệu	хэмжүүр	เมตริก	metrik	metrik	मेट्रिक्स	معیارهای	मेट्रिक्स	میٹرکس	ölçümler	מדדים	المقاييس	Metriken	métrica	metrica	Métricas	метрики	metryka
trofeo	a trophy	트로피, 우승컵	un trophée	トロフィー、優勝カップ	奖杯	獎盃	một chiếc cúp	цом	ถ้วยรางวัล	sebuah trofi	sebuah piala	एक ट्रॉफी	یک جام	एक ट्रफी	ایک ٹرافی	bir kupa	גביע	تلاشي	eine Trophäe	un trofeo	un trofeo	um troféu	трофей	trofeum
miriametro	a miriameter	1만 미터	un miriamètre	1万メートル	一英里	一英里	một phép đo ảo ảnh	мириаметр	มิเรียมมิเตอร์	satu miriameter	sebuah miriameter	एक मिरियामीटर	یک میری متر	एक miriameter	ایک میرا میٹر	bir miriametre	מיריאמטר	مقياس ميريميتر	ein Miriameter	un miriámetro	un miriametro	um miriâmetro	мириаметр	miriametr
monogramo	a monogram	모노그램 (첫글자 이름 장식)	un monogramme	モノグラム（最初の文字名の装飾）	字母组合	字母組合	một chữ lồng	монограм	ชื่อย่อ	monogram	sebuah monogram	एक मोनोग्राम	یک مونوگرام	एक मोनोग्राम	ایک مونوگرام	bir monogram	מונוגרמה	حرف واحد فقط	ein Monogramm	un monograma	un monogramma	um monograma	монограмма	monogram
salvo	a salvo, a burst, a fusillade	일제사격, 동시사격	une salve, une rafale, une fusillade	日帝射撃、同時射撃	齐射、连射、齐射	齊射、連射、齊射	một loạt đạn, một vụ nổ, một loạt đạn	сальво, тэсрэлт, fusillade	การระดมยิง, การระเบิด, การหลอมรวม	salvo, pecah, fusillade	sebuah salvo, sebuah ledakan, sebuah fusillade	एक विस्फोट, एक विस्फोट, एक विस्फोट	یک گلوله، یک انفجار، یک فوسیلاد	एक साल्वो, एक फट, एक fusillade	ایک سالو، ایک پھٹ، ایک fusillade	bir salvo, bir patlama, bir yaylım ateşi	סאלו, פרץ, fusillade	طلقة، انفجار، وابل من الصواريخ	eine Salve, eine Salve, eine Salve	una salva, una ráfaga, una descarga	una salva, uno scoppio, una raffica	uma salva, uma rajada, uma fuzilaria	залп, очередь, залп	salwa, seria, strzelanina
obolo	an obolus, an obol	오볼 은화 (그리스)	une obole, une obole	オボル銀貨（ギリシャ）	奥博鲁斯，奥博尔	奧博魯斯，奧博爾	một obolus, một obol	obolus, obolus	โอโบลัส, โอโบล	obolus, obol	sebuah obol, sebuah obol	एक ओबोलस, एक ओबोल	یک ابولوس، یک ابول	एक ओबोलस, एक ओबोल	ایک اوبولس، ایک اوبول	bir obolus, bir obol	אובולוס, אובול	أوبولوس، أوبول	ein Obolus, ein Obol	un óbolo, un óbolo	un obolo, un obolo	um óbolo, um óbolo	оболус, обол	obol, obol
optativo	optative	기원법, 희구법, 희망을 뜻하는 동사활용 (-u, -us)	optatif	起源法、希久法、希望を意味する動詞活用（-u、-us）	选择性的	選擇性的	chọn lựa	сонголттой	เป็นทางเลือก	optatif	optatif	आपटाइटिव	اختیاری	वैकल्पिक	اختیاری	isteğe bağlı	אופטימלי	دال على التمني	Optativ	optativo	ottativo	optativo	по желанию	życzący
paleografio	paleography	고문서학	paléographie	古文書学	古文字学	古文字學	cổ bản đồ	палеографи	วิชาบรรพชีวินวิทยา	paleografi	paleografi	प्राचीन शिलालेखों का अध्ययन	دیرینه نگاری	paleography	پیلیوگرافی	paleografi	פליוגרפיה	علم الحفريات	Paläographie	paleografía	paleografia	paleografia	палеография	paleografia
parafrazo	a paraphrase	의역, 부연 텍스트	une paraphrase	議役、テキストのテキスト	释义	釋義	một cách diễn giải	үг хэллэг	ถอดความ	satu parafrasa	sebuah parafrase	एक दृष्टांत	یک نقل قول	एक वाक्यांश	ایک جملہ	bir açıklama	פרפרזה	إعادة صياغة	eine Paraphrase	una paráfrasis	una parafrasi	uma paráfrase	перефраз	parafraza
paradigmo	a paradigm	패러다임 (시대 인식체계), 동사어형변화표	un paradigme	パラダイム（時代認識体系）、動詞語形変化表	一个范式	一個範式	một mô hình	парадигм	กระบวนทัศน์	suatu paradigma	sebuah paradigma	एक प्रतिमान	یک پارادایم	एक प्रतिमान	ایک تمثیل	bir paradigma	פרדיגמה	نموذج	ein Paradigma	un paradigma	un paradigma	um paradigma	парадигма	paradygmat
pentametro	a pentameter	펜타미터, 5음보, 약강5보, 시적운율 (5보격)	un pentamètre	ペンタメーター、5音報、薬鋼5梁、詩的韻律（5報酬）	五音步	五音步	một ngũ giác	пентаметр	เพนทามิเตอร์	pentameter	sebuah pentameter	एक पंचमापी	یک پنتا متر	एक पेन्टामिटर	ایک پینٹا میٹر	bir beşli ölçü	מחומש	الخماسي	ein Pentameter	un pentámetro	un pentametro	um pentâmetro	пятиметровый	pentametr
piastro	a piastre	피아스터 은화, 무역은화 (터키, 스페인, 멕시코)	une piastre	ピアスター銀貨、貿易銀貨（トルコ、スペイン、メキシコ）	皮亚斯特雷	皮亞斯特雷	một đồng xu	пиастр	ปิอาสเตร	seorang piastre	sebuah piastre	एक पियास्त्रे	یک پیاستر	एक piastre	ایک piastre	bir kuruş	פיאסטר	قرش	ein Piaster	una piastra	una piastra	uma piastra	пиастр	piastr
pleonasmo	a pleonasm, a redundancy	사족, 군더더기말	un pléonasme, une redondance	死族、もっと	冗词、冗词	冗詞、冗餘詞	sự tràn đầy, sự dư thừa	плеоназм, илүүдэл	ความพอใจ ความซ้ำซ้อน	pleonasme, redundansi	sebuah pleonasme, sebuah redundansi	एक बहुवचन, एक अतिरेक	یک پلئوناسم، یک افزونگی	एक pleonasm, एक अनावश्यकता	ایک pleonasm، ایک فالتو پن	bir pleonazm, bir fazlalık	פלונזם, יתירות	حشو، التكرار	ein Pleonasmus, eine Redundanz	un pleonasmo, una redundancia	un pleonasmo, una ridondanza	um pleonasmo, uma redundância	плеоназм, избыточность	pleonazm, redundancja
preterito	a pretrite, a past tense	과거시제	un préban, un passé	過去時制	过去时态	過去式	một pretrite, một thì quá khứ	өмнөх цаг, өнгөрсөн цаг	pretrite อดีตกาล	pretrite, masa lampau	sebuah pretrite, bentuk lampau	एक भूतकाल, एक भूतकाल	یک پیش‌نویس، یک زمان گذشته	एक पूर्व, भूतकाल	ایک سابقہ، ماضی کا زمانہ	bir bahane, geçmiş zaman	יומרה, זמן עבר	بريتريت، زمن الماضي	ein Pretrite, eine Vergangenheitsform	un pretrito, un tiempo pasado	un pretrito, un tempo passato	um pretrito, um pretérito	претрит, прошедшее время	pretryt, czas przeszły
silogismo	a syllogism	삼단논법, 추론	un syllogisme	三段論法、推論	三段论	三段論	một tam đoạn luận	силлогизм	การอ้างเหตุผล	satu silogisme	sebuah silogisme	एक न्यायशास्त्र	یک قیاس	एक sylogism	ایک syllogism	bir kıyas	סילוגיזם	القياس المنطقي	ein Syllogismus	un silogismo	un sillogismo	um silogismo	силлогизм	sylogizm
spektro	a spectrum	스펙트럼, 분광계	un spectre	スペクトル、分光計	光谱	光譜	một quang phổ	спектр	สเปกตรัม	satu spektrum	sebuah spektrum	एक स्पेक्ट्रम	یک طیف	एक स्पेक्ट्रम	ایک سپیکٹرم	bir spektrum	ספקטרום	طيف	ein Spektrum	un espectro	uno spettro	um espectro	спектр	widmo
solecismo	a solecism	파격, 어법위반	un solécisme	破格、語法違反	错误主义	錯誤主義	một chủ nghĩa duy nhất	солецизм	การเอาแต่ใจ	satu solecism	sebuah solecisme	एक एकमात्रवाद	یک سولسیسم	एक एकलवाद	ایک تنہائی	tekçilik	סולסיזם	النولية	ein Solezismus	un solecismo	un solecismo	um solecismo	солецизм	solecyzm
hierarkio	hierarchy (=hierarĥio)	계층, 계급, 위계질서 (=hierarĥio)	hiérarchie (=hierarĥio)	階層、階級、位階秩序（=hierarĥio）	层次结构 (=hierarĥio)	層次結構(=hierarĥio)	thứ bậc (=hierarĥio)	шатлал (=hierarĥio)	ลำดับชั้น (=hierarĥio)	hierarki (=hierarki)	hierarki (=hierarĥio)	पदानुक्रम (=hierarĥio)	سلسله مراتب (=hierarĥio)	पदानुक्रम (=hierarĥio)	درجہ بندی (=hierarĥio)	hiyerarşi (=hiyerarşi)	היררכיה (=hierarĥio)	التسلسل الهرمي (=hierarĥio)	Hierarchie (=hierarĥio)	jerarquía (=hierarĥio)	gerarchia (=hierarĥio)	hierarquia (=hierarĥio)	иерархия (=hierarĥio)	hierarchia (=hierarĥio)
subjunktivo	subjunctive	가정법	subjonctif	仮定法	虚拟语气	虛擬語氣	giả định	дэд үг	เสริม	subjungtif	subjungtif	अधीन	فرعی	अधीनस्थ	ذیلی	dilek kipi	שם משנה	شرطي	Konjunktiv	subjuntivo	congiuntivo	subjuntivo	сослагательное наклонение	tryb łączący
spontanea	spontaneous	자연 발생적인, 저절로 일어나는	spontané	自然発生的な、自然に起こる	自发的	自發性的	tự phát	аяндаа	โดยธรรมชาติ	secara spontan	spontan	अविरल	خود جوش	सहज	اچانک	doğal	ספּוֹנטָנִי	تلقائي	spontan	espontáneo	spontaneo	espontâneo	спонтанный	spontaniczny
amuleto	an amulet	부적, (목에 거는) 호신패(護身牌)	une amulette	お守り、（首に掛ける）護身牌	护身符	護身符	một tấm bùa hộ mệnh	сахиус	พระเครื่อง	sebuah azimat	sebuah jimat	एक ताबीज	یک طلسم	एक ताबीज	ایک تعویذ	bir muska	קמע	تميمة	ein Amulett	un amuleto	un amuleto	um amuleto	амулет	amulet
