eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
iu diris malforte	someone said weakly	누군가 나즈막히 말했다	dit quelqu'un faiblement	誰かがぽつりと言った	有人弱弱地说	有人弱弱地說	ai đó nói yếu ớt
proksime de la gondolisto	near the gondolier	그 곤돌라 운전사 가까이에	près du gondolier	そのゴンドラ運転手の近くに	靠近船夫	靠近船夫	gần người chèo thuyền
la estro de la urbo	the mayor of the city	그 도시의 시장(市長)	le maire de la ville	その街の市長	市长	市長	thị trưởng thành phố
senvorte montris al la gondolo	wordlessly pointed to the gondola	말없이 그 곤돌라를 가리켰다	Sans un mot, il montra la gondole	無言でそのゴンドラを指差した。	无言地指着缆车	無言地指著纜車	không nói một lời chỉ vào chiếc thuyền gondola
diris la gondolisto	said the gondolier	그 곤돌라 운전수가 말했다	dit le gondolier	そのゴンドラ運転手は言った	船夫说	船夫說	người chèo thuyền nói
kaj prenis la manon de sia amiko	and took his friend's hand	그리고 자기 친구의 손을 잡았다	et a pris la main de son ami	そして自分の友人の手を握った	并握住他朋友的手	並握住他朋友的手	và nắm lấy tay bạn mình
ĵetas la paperon	throws the paper	그 종이를 던진다	jette le papier	その紙を投げる	扔纸	丟紙	ném tờ giấy
en la paperujon	into the paper bin	그 서류함 안으로	dans la corbeille à papier	その書類箱の中に	放入纸箱	放入紙箱	vào thùng giấy
la knabinoj ĵetis la paperojn	the girls threw the papers	그 소녀들은 그 종이들을 던졌다	les filles ont jeté les papiers	少女たちはその紙を投げた	女孩们扔了报纸	女孩們丟了報紙	các cô gái đã ném giấy tờ
kie estas mia skribilo?	where is my pen	나의 필기구는 어디있는가?	où est mon stylo	私の筆記用具はどこにある？	我的笔在哪里	我的筆在哪裡	bút của tôi đâu
mi volas respondi al li	I want to answer him	나는 그에게 응답하고싶다	je veux lui répondre	私は彼に答えたい	我想回答他	我想回答他	Tôi muốn trả lời anh ấy
la suno malaperis	the sun disappeared	태양이 사라졌다	le soleil a disparu	太陽が消えた	太阳消失了	太陽消失了	mặt trời biến mất
kaj nun estas preskaŭ malhele	and now it is almost dark	그리고 지금은 거의 어둑하다	et maintenant il fait presque nuit	そして今はほとんど真っ暗だ	现在天快黑了	現在天快黑了	và bây giờ trời đã gần tối
bonvolu manĝi	please eat	드시기 바랍니다	mange s'il te plait	お召し上がりください	请吃	請吃	mời ăn
bonvolu manĝi la panon	please eat the bread	그 빵을 드시기 바랍니다	s'il te plaît, mange le pain	そのパンを食べてください	请吃面包	請吃麵包	xin vui lòng ăn bánh mì
per manĝiloj	with cutlery	수저(포크)들을 가지고	avec des couverts	カトラリー（フォーク）を持って	带餐具	附餐具	bằng dao kéo
pardonu min	excuse me	양해해 주십시오	excusez-moi	ご了承ください	打扰一下	打擾一下	xin lỗi
rajtas resti	is allowed to stay	머무는데 허락받았다	est autorisé à rester	滞在を許可された	被允许留下来	被允許留下來	được phép ở lại
mi ne rajtas resti	I have no right to stay	나는 머무는데 허락받지 못한다	Je n'ai pas le droit de rester	私は滞在を許可されていない	我没有权利留下来	我沒有權利留下來	Tôi không có quyền ở lại
ĉu vi povas kunporti ~ ?	can you bring ~ ?	당신은 ~를 휴대할 수 있나요?	peux-tu apporter ~ ?	あなたは～を持ち歩くことができますか？	可以带吗~	可以帶嗎~	bạn có thể mang theo ~?
de mia fratino	from my sister	나의 여동생(누나)의	de ma soeur	私の妹（姉）の	来自我姐姐	來自我姐姐	từ chị gái tôi
kiam vi aĉetis ~ ?	when did you buy ~ ?	언제 당신은 ~를 샀나요?	quand as-tu acheté ~ ?	いつあなたは～を買いましたか？	什么时候买的~	什麼時候買的~	bạn mua khi nào ~?
aĉetis tiun muzikilon	bought that musical instrument	그 악기를 샀다	j'ai acheté cet instrument de musique	その楽器を買った	买了那个乐器	買了那個樂器	đã mua nhạc cụ đó
kiu laste uzis ?	who used last?	누가 마지막에 사용했는가?	qui a utilisé en dernier ?	誰が最後に使ったか？	谁最后用的？	誰最後用的？	ai đã sử dụng lần cuối?
uzis mian ŝlosilon	used my key	나의 열쇠를 사용했다	j'ai utilisé ma clé	私の鍵を使った	用了我的钥匙	用了我的鑰匙	đã sử dụng chìa khóa của tôi
ĉu vi veturis?	did you drive?	당신은 운전하였습니까?	as-tu conduit ?	あなたは運転しましたか？	你开车了吗？	你開車了嗎？	Bạn đã lái xe phải không?
en Venecio	in Venice	베네치아 안에	à Venise	ヴェネツィアの中で	在威尼斯	在威尼斯	ở Venice
ankaŭ per gondolo	also by gondola	곤돌라도 이용해서	aussi en gondole	ゴンドラも利用して	也可乘坐缆车	也可搭乘纜車	cũng bằng thuyền gondola
ĉu vi povos ekdormi?	will you be able to fall asleep?	당신은 잠들 수 있을까요?	parviendras-tu à t'endormir ?	あなたは眠れますか？	你能睡着吗？	你能睡著嗎？	bạn có thể ngủ được không?
tiam, kiam silentiĝis	then, when there was silence	그 때, 조용해진 그 때	puis, quand il y eut un silence	その時、静かになったその時	然后，当一片寂静时	然後，當一片寂靜時	sau đó, khi có sự im lặng
la sinjoro estis alta	the gentleman was tall	그 신사는 키가 컸다	le monsieur était grand	その紳士は背が高かった	这位先生很高	這位先生很高	quý ông đó cao
alta, dika	tall, fat	높은 (키 큰), 굵은 (살찐)	grand, gros	高い（背が高い）、太い（太っている）	高、胖	高、胖	cao, mập
dika, peza	thick, heavy	굵은 (살찐), 무거운	épais, lourd	太い（太った）、重い	厚、重	厚、重	dày, nặng
peza kaj larĝa	heavy and large	무겁고 거대한	lourd et grand	重い、巨大な	又重又大	又重又大	nặng và lớn
estis alta, dika, peza, kaj larĝa	was tall, thick, heavy, and large	키크고, 살찌고, 무겁고, 거대했다	était grand, épais, lourd et grand	背が高く、太く、重く、巨大だった	又高又厚又重又大	又高又厚又重又大	cao, dày, nặng và to
donis forton	gave strength	힘을 주었다	a donné de la force	力を与えた	给予力量	給予力量	đã cho sức mạnh
havinda forto	a force worth having	가질 만한 힘	une force qui vaut la peine d'être possédée	持つべき力	值得拥有的力量	值得擁有的力量	một sức mạnh đáng có
havinda korpoforto	physical strength worth having	가길 만한 신체적 힘	une force physique qui vaut la peine d'être acquise	持てるだけの身体的な力	值得拥有的体力	值得擁有的體力	sức mạnh thể chất đáng có
tio donis	that gave	그것은 주었다	ça a donné	それは与えた	这给了	這給了	điều đó đã cho
donis al li	gave him	그에게 주었다	lui a donné	彼に与えた	给了他	給了他	đã cho anh ấy
tio donis forton	that gave strength	그것은 힘을 주었다	ça a donné de la force	それは力を与えた	给予力量	給予力量	điều đó đã mang lại sức mạnh
donis havindan korpoforton	gave body strength worth having	그것은 가질 만한 신체적 힘을 주었다	a donné au corps une force qui en valait la peine	それは持つべき肉体的な力を与えた	赋予了值得拥有的身体力量	賦予了值得擁有的身體力量	đã cho cơ thể sức mạnh đáng có
lia aspekto	his appearance	그의 외모	son apparence	彼の外見	他的外表	他的外表	Ngoại hình của anh ấy
grandula aspekto	appearance of a tall person	거인 같은 외모	apparence d'une personne de grande taille	巨人のような外見	高个子的外表	高個子的外表	vẻ ngoài của một người cao
eta rolo	a small role	작은 역할	un petit rôle	小さな役割	一个小角色	一個小角色	một vai trò nhỏ
ludis rolon	played a role	역할을 했다	a joué un rôle	役割を果たした	发挥了作用	發揮了作用	Đóng một vai trò
ne eta rolo	not a small role	작지 않은 역할	pas un petit rôle	小さくない役割	不是一个小角色	不是一個小角色	một vai diễn không hề nhỏ
ludis etan rolon	played a small role	작은 역할을 했다	a joué un petit rôle	小さな役割を果たした	起了小作用	起了小作用	đóng một vai trò nhỏ
ludis ne etan rolon	played no small role	작지 않은 역할을 했다	n'a pas joué un petit rôle	小さくない役割を果たした	起了不小的作用	起了不小的作用	đóng vai trò không nhỏ
en la fakto, ke ~	in the fact that ~	~한다는 사실에	dans le fait que ~	~することに	事实上~	事實上~	thực tế là ~
la plimulto el la homoj	the majority of the people	그 사람들 대다수	la majorité des gens	その人たちの大多数	大多数人	大多數人	phần lớn người dân
se ne timis	if not afraid	겁먹지 않으면	si je n'ai pas peur	怖がらなければ	如果不害怕	如果不害怕	nếu không sợ
lin timis	was afraid of him	그를 무서워 했다	j'avais peur de lui	彼を怖がらせた	害怕他	害怕他	đã sợ anh ấy
se lin timis	if he was afraid	그를 무서워 했다면	s'il avait peur	彼を怖がっていたなら	如果他害怕	如果他害怕	nếu anh ấy sợ
se ne lin timis	if not afraid of him	그를 무서워 하지는 않는다면	si je n'ai pas peur de lui	彼を怖がらなければ	如果不怕他	如果不怕他	nếu không sợ anh ta
certe respektis	certainly respected	확실히 존중했다	certainement respecté	確かに尊敬していた	当然受到尊重	當然受到尊重	chắc chắn được tôn trọng
almenaŭ pripensis ~	at least thought about ~	적어도 ~에 대해 생각했다	j'y ai au moins pensé ~	少なくとも～について考えた	至少想过~	至少想過~	ít nhất là nghĩ về ~
antaŭ ol ~	before ~	~ 하기 전에	avant ~	~ する前に	之前~	之前~	trước ~
kontentigi lin	to satisfy him	그를 만족시키다	pour le satisfaire	彼を満足させる	来满足他	來滿足他	để thỏa mãn anh ấy
malkontentigi lin	to displease him	그의 불만을 일으키다	pour lui déplaire	彼の不満を引き起こす	使他不高兴	使他不高興	làm mất lòng anh ấy
antaŭ ol malkontentigi ~	before dissatisfying ~	~의 불만을 일으키기 전에	avant d'être insatisfait ~	~の不満を引き起こす前に	不满意之前~	不滿意之前~	trước khi không hài lòng ~
antaŭ ol decidi ~	before deciding ~	~를 결정하기 전에	avant de décider ~	~を決める前に	决定之前~	決定之前~	trước khi quyết định ~
decidi malkontentigi ~	to decide to displease ~	~의 불만을 일으키기로 결정하다	décider de déplaire ~	~の不満を引き起こすことを決める	决定不高兴~	決定不高興~	quyết định không hài lòng ~
decidi kontentigi lin	to decide to satisfy him	그를 만족시키기로 결정하다	décider de le satisfaire	彼を満足させることを決める	决定满足他	決定滿足他	quyết định làm hài lòng anh ấy
antaŭ ol decidi malkontentigi lin	before deciding to displease him	그의 불만을 사기로 정하기 전에	avant de décider de lui déplaire	彼の不満を買うことに決める前に	在决定让他不高兴之前	在決定讓他不高興之前	trước khi quyết định làm mất lòng anh ấy
tio, kio estas utila	that, which is useful	그 것, 유용한 그	ça, ce qui est utile	そのこと、有用な彼	那个，有用的	那個，有用的	cái đó hữu ích
